"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000144021.2","CIAO1",4.50204426339695,0.131563305019315,6.73029600445703e-06,0.00459551443855315,0.0423699263780685,0.00932879964017361,NA,13,13,13,0.000972715131843251
"ENSG00000138031.14","ADCY3",4.49195480151187,0.135296040812274,7.05724031195176e-06,0.00461163355179151,0.0310666102239963,0.0254828815490377,NA,13,13,13,0.000972715131843251
"ENSG00000165917.9","RAPSN",-4.4795100552191,-0.0333398874039295,7.48145659805195e-06,0.0691487010556887,0.137324104029781,7.98862749425818e-07,NA,61,62,62,0.000972715131843251
"ENSG00000152348.15","ATG10",4.47737217643662,0.0255330913802291,7.5567445058378e-06,0.101485434867283,0.256553363071412,1.85405341520404e-12,NA,37,37,37,0.000972715131843251
"ENSG00000161999.11","JMJD8",4.47695148010105,0.0989582364580156,7.57164488006816e-06,0.00798346159648685,0.0505319920189,0.0043539060527043,NA,11,11,11,0.000972715131843251
"ENSG00000107338.9","SHB",-4.47608612266524,-0.102566044130236,7.60238279396529e-06,0.0077969271898491,0.0479453594335314,0.00497591821263529,NA,25,26,26,0.000972715131843251
"ENSG00000119878.5","CRIPT",-4.42954912468999,-0.0466177252612413,9.44303020868194e-06,0.0320391462135216,0.291492785024874,1.4307493358625e-14,NA,9,9,9,0.0011552675859194
"ENSG00000176920.11","FUT2",-4.42842938519074,-0.0293959650078752,9.49217856166242e-06,0.0862856336545941,0.207566724517863,6.59605581164498e-10,NA,91,91,91,0.0011552675859194
"ENSG00000164610.8","RP9",4.41395808278747,0.045444116300643,1.01497619365217e-05,0.0354566953978592,0.248362423314849,1.01538720790272e-11,NA,21,21,21,0.00120588838245817
"ENSG00000198105.13","ZNF248",-4.40711128373629,-0.0791624338397747,1.04758372584611e-05,0.0136143367998114,0.0638692123131332,0.00105169909985728,NA,43,45,45,0.00121568437022607
"ENSG00000181409.11","AATK",4.39166740678561,0.154924085961261,1.12484677464924e-05,0.00307064261735733,0.0454868089935197,0.00717882214697723,NA,28,28,28,0.00127567850124993
"ENSG00000204371.11","EHMT2",-4.33780819608845,-0.0879774276300674,1.4391065640682e-05,0.00866377919028773,0.168816730647949,4.68398785191982e-08,NA,11,11,11,0.00159580927882229
"ENSG00000113494.16","PRLR",-4.29721225327846,-0.0630661787200874,1.72959563122447e-05,0.0177996237118004,0.234478817287282,3.51875004341501e-11,NA,18,18,18,0.00186920715402518
"ENSG00000101104.12","PABPC1L",4.29327390694537,0.050664806986056,1.76057587653674e-05,0.0249858935393974,0.214396783145742,8.82334700427068e-11,NA,23,23,23,0.00186920715402518
"ENSG00000165650.11","PDZD8",4.24339185406086,0.0856985262825628,2.20166497531164e-05,0.00928193456689229,0.144630579169964,5.47623105176599e-07,NA,9,9,9,0.00228881421391773
"ENSG00000170703.15","TTLL6",-4.23540805498921,-0.0417349801790056,2.28137039413799e-05,0.0344683049199339,0.128128486793593,2.75954201298906e-06,NA,35,35,35,0.00232327311566297
"ENSG00000267353.1","CTD-2162K18.3",4.20814847264734,0.0421183528026414,2.57471679694833e-05,0.0336463573031356,0.0683915246725505,0.000789325495884829,NA,37,37,37,0.00256956736335443
"ENSG00000238083.7","LRRC37A2",4.20252504394183,0.0149180085685744,2.63954035186034e-05,0.313753651595357,0.640174135125325,3.81865265029053e-43,NA,36,38,38,0.00258260908936923
"ENSG00000205659.10","LIN52",4.19718370488412,0.0485929275110062,2.70254710351475e-05,0.0258033692610395,0.19447057813495,2.20337434116296e-09,NA,26,26,26,0.0025934057781805
"ENSG00000242441.7","GTF2A1L",4.18536982590249,0.0456202750850499,2.84702189142409e-05,0.0293951918804584,0.130561334613779,7.22138442816905e-07,NA,3,3,3,0.00262467858533776
"ENSG00000158234.12","FAIM",4.17600269789245,0.0620469980821325,2.96676301210774e-05,0.017769891134923,0.0605394855132638,0.00113063011471764,NA,50,50,50,0.00262467858533776
"ENSG00000281205.1","LINC00950",-4.17463663610686,-0.0660954829069625,2.98462045197075e-05,0.0150924406504422,0.184797926103715,2.39358702208777e-09,NA,21,21,21,0.00262467858533776
"ENSG00000164045.11","CDC25A",-4.17383478241692,-0.0548473910429265,2.99514998053952e-05,0.0206959501258358,0.0498505511158116,0.00435354826356954,NA,35,36,36,0.00262467858533776
"ENSG00000237651.6","C2orf74",4.17360834344826,0.0338059573608063,2.99812984697901e-05,0.0598024724480839,0.483481383177657,2.33356992141933e-27,NA,22,22,22,0.00262467858533776
"ENSG00000003056.7","M6PR",4.15700177080493,0.0839509873882049,3.22451492259956e-05,0.00962661971166241,0.0592470298440776,0.00171805882810416,NA,46,46,46,0.00277419473513307
"ENSG00000106603.18","COA1",4.13593252383029,0.102557115215114,3.53516067061125e-05,0.00597653359825447,0.106909889391835,1.47232910749697e-05,NA,30,30,30,0.00298990707565257
"ENSG00000164167.10","LSM6",4.12942255773223,0.0583100722388196,3.63675471602001e-05,0.0180210551352336,0.140093168094997,7.47276872314625e-07,NA,27,27,27,0.00302456767215664
"ENSG00000123297.17","TSFM",-4.11192265804619,-0.0463011828549104,3.92377755392146e-05,0.0279883136073199,0.211163278010605,5.07147643275806e-10,NA,36,36,36,0.00320977868755214
"ENSG00000090316.15","MAEA",-4.10329286160452,-0.112593936310765,4.07311127316905e-05,0.00434005112849691,0.0706299930238475,0.000702657985303585,NA,11,11,11,0.00322513973181831
"ENSG00000054654.16","SYNE2",-4.10066952807024,-0.131712595016759,4.11956513676762e-05,0.00311886658157825,0.0565088695496122,0.00245608211613068,NA,11,11,11,0.00322513973181831
"ENSG00000186020.12","ZNF529",-4.09972286163987,-0.0994986428522765,4.13645176024793e-05,0.00589845961295356,0.103769703752273,2.67642539343376e-05,NA,21,21,21,0.00322513973181831
"ENSG00000160360.12","GPSM1",-4.07240637817283,-0.306228970265108,4.65299051696852e-05,0.000627268063288826,0.0252612931351039,0.0448349894450317,NA,8,8,8,0.00357206502764199
"ENSG00000114735.9","HEMK1",4.05743558575648,0.0845514549267423,4.96144950965613e-05,0.00948291527705332,0.0770041496669334,0.00019554401496125,NA,109,109,109,0.00375115652320971
"ENSG00000185829.17","ARL17A",4.0490795755992,0.0175276462395407,5.14194603915991e-05,0.203895032278001,0.399361596584017,1.64073585125376e-20,NA,67,70,70,0.00382959861722507
"ENSG00000173540.12","GMPPB",-4.0283243068362,-0.0287703665944633,5.61758180301321e-05,0.0578117167716282,0.207830537171518,2.30517324294019e-10,NA,74,75,75,0.0040696678890369
"ENSG00000176681.14","LRRC37A",4.02791380864146,0.0137119194109097,5.62739647983059e-05,0.319056008165564,0.534563240118265,2.38257078125627e-31,NA,52,53,53,0.0040696678890369
"ENSG00000157036.12","EXOG",4.00687291916064,0.0395875792962369,6.15279460277937e-05,0.0438399018951745,0.148883760323449,3.58083440596651e-07,NA,38,40,40,0.00438606358112415
