"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000049245.12","VAMP3",8.87149076054834,0.385823637714743,7.21731379977338e-19,0.00193138805032771,0.0404474440377442,0.0137027798713438,NA,14,15,15,2.63287607415733e-15
"ENSG00000266472.5","MRPS21",8.44364275585614,0.339916015879364,3.07598304213127e-17,0.00220050161613919,0.0435007831246143,0.00865618279238426,NA,12,12,12,5.61059306884744e-14
"ENSG00000114735.9","HEMK1",6.78541681402887,0.131787987275615,1.15751831832794e-11,0.0115418269787086,0.0402073876284358,0.0134538737245656,NA,51,52,52,1.40754227508677e-08
"ENSG00000139133.6","ALG10",-6.67574032638291,-0.0997822648002128,2.45987193256267e-11,0.0159300436110822,0.0564836801527054,0.00307310007638455,NA,28,29,29,2.24340320249715e-08
"ENSG00000108733.9","PEX12",6.54124717024453,0.089574234119588,6.10079040602408e-11,0.0168844532645125,0.139773849485271,2.81421799864691e-06,NA,41,41,41,4.45113668023517e-08
"ENSG00000148384.12","INPP5E",-5.8444073973903,-0.102839730105097,5.0837474239507e-09,0.0120446889156368,0.217600078190677,2.8881028842392e-10,NA,19,19,19,3.09091843376203e-06
"ENSG00000110514.19","MADD",5.79987949086101,0.186097869938666,6.63625932427753e-09,0.00295160350615192,0.0660138239598433,0.00176559266905713,NA,6,6,6,3.45843914499492e-06
"ENSG00000164924.17","YWHAZ",5.49122765097731,0.253821682380397,3.99149464526207e-08,0.00179211806584826,0.0526905608554032,0.00418688223048372,NA,20,21,21,1.8201215582395e-05
"ENSG00000172638.12","EFEMP2",-5.36343443374203,-0.131673959195612,8.16542996019576e-08,0.00544240142017986,0.0442109659385732,0.00874595836495025,NA,72,72,72,3.30972094386601e-05
"ENSG00000110768.11","GTF2H1",5.28081876320499,0.062879175188387,1.28607860258114e-07,0.0233966681922251,0.190154131264941,1.70004497131595e-09,NA,37,37,37,4.48347546462098e-05
"ENSG00000132436.11","FIGNL1",5.27166385263553,0.043340027969432,1.35192516751181e-07,0.0486844177901443,0.249264721653268,2.62088843708526e-11,NA,18,18,18,4.48347546462098e-05
"ENSG00000165113.12","GKAP1",-5.14306939050551,-0.141028215426226,2.70285732940815e-07,0.00442234516305252,0.112187827390587,2.50938641302779e-05,NA,19,20,20,8.21668628140078e-05
"ENSG00000181754.6","AMIGO1",-5.11896704109396,-0.120107717891671,3.07213638748091e-07,0.00609997925390166,0.0555020579767433,0.0043922240212288,NA,78,78,78,8.62088733963874e-05
"ENSG00000101104.12","PABPC1L",5.03499549967083,0.078686149843644,4.77860059725901e-07,0.0155467553744646,0.256403902367763,3.287521316142e-11,NA,15,15,15,0.000124516678420006
"ENSG00000008283.15","CYB561",-4.92126089940948,-0.0686866330637973,8.59884092132801e-07,0.0183519997927054,0.309710363455593,7.49838491856179e-15,NA,21,21,21,0.000201797137868407
"ENSG00000182628.12","SKA2",4.91560761098647,0.123418531008107,8.85075166089504e-07,0.00581345517649076,0.0747448924266436,0.000806157309757365,NA,16,16,16,0.000201797137868407
"ENSG00000109163.6","GNRHR",4.86200710871962,0.0325865467338724,1.16201448761525e-06,0.0875312308900164,0.081219192798629,0.000381327649101979,NA,87,88,88,0.000249354638283555
"ENSG00000170703.15","TTLL6",-4.71329931756929,-0.0704055796192391,2.43737761259602e-06,0.0137433179337187,0.114559296234002,2.41638148940698e-05,NA,16,16,16,0.000493975196152793
"ENSG00000152348.15","ATG10",4.69803259766285,0.0230434479560999,2.62679514831108e-06,0.134635918204956,0.369561105387424,1.40050029345537e-17,NA,48,48,48,0.000504344668475727
"ENSG00000148408.12","CACNA1B",4.65612509186994,0.291450321516008,3.22216204899128e-06,0.00103607590550017,0.0479682043762474,0.00606938570453,NA,5,5,5,0.00058772235773601
"ENSG00000173209.22","AHSA2",-4.62786600537988,-0.0271947944403377,3.69452918649281e-06,0.111221618747855,0.495502342976779,7.86659843449231e-26,NA,70,70,70,0.000641570864522467
"ENSG00000116771.5","AGMAT",-4.61829161945418,-0.304573284184623,3.86912253823856e-06,0.000811587846187678,0.0668751258539903,0.00152689468372989,NA,16,16,16,0.000641570864522467
"ENSG00000176909.11","MAMSTR",-4.57112567171916,-0.0574548152115315,4.85111230959485e-06,0.0249082731410694,0.193061104548551,1.25294288853892e-08,NA,21,21,21,0.00075858632420594
"ENSG00000145020.15","AMT",4.56517831268037,0.0940401548871147,4.99069950135487e-06,0.00825224091925674,0.145847786495341,1.06075057709413e-06,NA,30,30,30,0.00075858632420594
"ENSG00000205659.10","LIN52",4.51821428850197,0.0959077973417327,6.23633523909733e-06,0.00823716545059892,0.0760335352807194,0.000502678920821341,NA,12,12,12,0.000910006038089082
"ENSG00000120647.9","CCDC77",4.45595083414749,0.0356116606159382,8.35221737112706e-06,0.0547027614063245,0.269795165083291,1.57158032901694e-12,NA,16,16,16,0.00117188034499506
"ENSG00000126457.21","PRMT1",-4.31796418418049,-0.109793249212844,1.5747497581222e-05,0.00589611158269049,0.0814536939322013,0.000354374356519762,NA,26,26,26,0.00212766189541844
"ENSG00000144021.2","CIAO1",4.28174979535369,0.0724850303615196,1.85429411913616e-05,0.0133903252553514,0.196520602793383,5.04263289919905e-09,NA,7,9,9,0.00229088205852682
"ENSG00000121101.15","TEX14",-4.28154606509674,-0.0395320475829633,1.8559929175965e-05,0.0425447452138291,0.131853403977817,3.57991356976821e-06,NA,24,24,24,0.00229088205852682
