"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000267100.1","ILF3-AS1",4.58120049791673,0.0760751546703748,4.6231434343464e-06,0.0142590096170884,0.115031040460931,1.295514374756e-05,NA,17,17,17,0.000827603720089964
"ENSG00000143921.6","ABCG8",-4.57618100932466,-0.0889174529870832,4.73540860966969e-06,0.008442884353878,0.0408341353033695,0.0115371788519625,NA,16,16,16,0.000827603720089964
"ENSG00000205659.10","LIN52",4.52135193537998,0.0606410472146023,6.14459321040275e-06,0.0193600393301812,0.101210649093293,7.80816393878156e-05,NA,19,19,19,0.00103411227955815
"ENSG00000138031.14","ADCY3",4.50448509508951,0.167332588187153,6.65340672604502e-06,0.00294932230124358,0.0664020136221333,0.00155857673314393,NA,13,13,13,0.00104751344873025
"ENSG00000100197.20","CYP2D6",-4.50347018393429,-0.0389667449291066,6.68527509092809e-06,0.0492561115153329,0.235523918582558,1.41641549328586e-10,NA,18,18,18,0.00104751344873025
"ENSG00000119723.16","COQ6",4.47925960415423,0.103797524282232,7.49023929299413e-06,0.00678624616418938,0.0278073481767062,0.0406107834504401,NA,30,30,30,0.00109916518448679
"ENSG00000152348.15","ATG10",4.47901842552438,0.0199205218940864,7.49870614416602e-06,0.167390414983902,0.480470068454511,3.44947422853901e-25,NA,44,44,44,0.00109916518448679
"ENSG00000249937.5","RP11-454P21.1",-4.46464778675508,-0.0298007884313704,8.02005747415889e-06,0.0791863027141819,0.262515428781648,1.35372896488826e-11,NA,24,24,24,0.00113884816133056
"ENSG00000183066.14","WBP2NL",4.44549569121163,0.0410537244845179,8.76894385561523e-06,0.0437986065360477,0.126762982242267,6.84018699227684e-06,NA,31,31,31,0.00118685911300333
"ENSG00000063176.15","SPHK2",4.44277630808738,0.14065862901666,8.88054794060588e-06,0.0035642887324552,0.0318076793197392,0.0317682193653372,NA,31,32,32,0.00118685911300333
"ENSG00000244219.6","GS1-259H13.2",-4.37699420059449,-0.0710139456747007,1.20327174700717e-05,0.0154436576042772,0.111701144132476,2.60696299516341e-05,NA,28,29,29,0.00156219051954302
"ENSG00000173209.22","AHSA2",-4.34255814303963,-0.0211963634097862,1.40833197381149e-05,0.175303032484966,0.530213465388075,3.44419316357787e-28,NA,125,125,125,0.00177702367311832
"ENSG00000170632.13","ARMC10",-4.33661151917314,-0.0735430765903291,1.44696029721342e-05,0.0156833227463518,0.136000006418524,3.98540885558519e-06,NA,25,25,25,0.00177702367311832
"ENSG00000163945.15","UVSSA",4.2545203428375,0.0558625702634556,2.09497613933933e-05,0.0186554779602687,0.18024530388804,3.03812869685856e-08,NA,32,32,32,0.00240190250102317
"ENSG00000196653.11","ZNF502",-4.25170913817698,-0.0421425941744548,2.12145271322767e-05,0.0326724783771111,0.184221920777787,4.57851835966464e-08,NA,38,38,38,0.00240190250102317
"ENSG00000184545.10","DUSP8",4.24576645705553,0.120681037081917,2.17847448556841e-05,0.00445676759149537,0.109694161177035,2.4931227519126e-05,NA,34,35,35,0.00240190250102317
"ENSG00000119636.15","BBOF1",4.23763124616597,0.0788269240878889,2.25890374703447e-05,0.0101040668451069,0.0466988761946134,0.00805622381545378,NA,48,48,48,0.00240190250102317
"ENSG00000158234.12","FAIM",4.23431580272909,0.0805619791405809,2.29248598865651e-05,0.010732809790178,0.122766755993335,7.31500825484112e-06,NA,11,11,11,0.00240190250102317
"ENSG00000203485.12","INF2",4.23258953490773,0.108033548360877,2.31015897384915e-05,0.00566442833315024,0.028901528737293,0.0302131452971995,NA,28,28,28,0.00240190250102317
"ENSG00000148143.12","ZNF462",4.23107356248416,0.219377741317604,2.32578587246962e-05,0.00100812045677897,0.0953581458274133,7.37080903665519e-05,NA,8,8,8,0.00240190250102317
"ENSG00000237651.6","C2orf74",4.21762371761815,0.0190498985626352,2.46890365314675e-05,0.187757951147336,0.675184745854971,1.57898677096913e-44,NA,36,36,36,0.00245457365159266
"ENSG00000117569.18","PTBP2",4.21617372331075,0.106207065234462,2.48482367898905e-05,0.00541808102493281,0.082805594264848,0.000320228232711397,NA,12,12,12,0.00245457365159266
"ENSG00000238083.7","LRRC37A2",4.20026701174431,0.0178250740059211,2.66600386928372e-05,0.212779707814373,0.551983425813801,3.99779860683222e-31,NA,24,29,29,0.00253029819500659
"ENSG00000110768.11","GTF2H1",4.19968631037418,0.0594054681790603,2.67285020599288e-05,0.0152568442343726,0.308096376847619,3.13761575438185e-15,NA,43,43,43,0.00253029819500659
"ENSG00000110871.14","COQ5",4.17745657022417,0.0384106999049525,2.94786926714256e-05,0.0394309931468,0.241105741222325,5.75603346560649e-11,NA,39,39,39,0.00273369754079506
"ENSG00000144021.2","CIAO1",4.15986097875204,0.133621492527315,3.18441363042692e-05,0.00400584193059588,0.107171767564232,3.4103405273705e-05,NA,7,7,7,0.00289399510733198
"ENSG00000175224.16","ATG13",-4.14850514697899,-0.045616649030928,3.34653324543183e-05,0.026469375406457,0.0543117129674914,0.00419764972817353,NA,51,51,51,0.00293978183414762
"ENSG00000188385.11","JAKMIP3",-4.14730029164834,-0.0370459763894039,3.36418695809147e-05,0.0467144061171259,0.440889634939396,1.05726225113649e-21,NA,20,20,20,0.00293978183414762
"ENSG00000104643.9","MTMR9",4.13874352947997,0.221992488335766,3.49213061895904e-05,0.00137477619443802,0.0697617822026861,0.00107667134776335,NA,8,8,8,0.00299400783633017
"ENSG00000168936.10","TMEM129",4.12746767821578,0.0709612037741585,3.66779965142435e-05,0.0103549707660851,0.0968076919479833,9.49016973492059e-05,NA,43,43,43,0.00308638548445782
"ENSG00000142233.11","NTN5",-4.10831808122247,-0.0886571162518581,3.98550954977583e-05,0.00824340093877937,0.0551629234465405,0.00433820503162491,NA,18,18,18,0.0032927555262148
"ENSG00000116771.5","AGMAT",-4.08596095238601,-0.0435471444645625,4.38947606362437e-05,0.0290922686220808,0.293625326530722,1.91805436790664e-13,NA,52,52,52,0.00356174629162663
"ENSG00000227888.4","FAM66A",4.07316188173524,0.020943387667078,4.63791641128384e-05,0.133578013897131,0.27792823032173,2.06341945504421e-12,NA,37,41,41,0.00369731441629364
"ENSG00000106603.18","COA1",4.05400424218566,0.0665014912976943,5.03483025506952e-05,0.0130902231748342,0.0991401578342452,7.41367489699376e-05,NA,32,32,32,0.00392653112669494
"ENSG00000225206.8","MIR137HG",-4.05107579275512,-0.0954442882446712,5.09826884848155e-05,0.00626662992046517,0.148682835488614,5.56453149191851e-07,NA,5,5,5,0.00392653112669494
"ENSG00000177556.11","ATOX1",-4.03606581946705,-0.0935973397122155,5.43549731490204e-05,0.00699377768215101,0.0336796353298494,0.0228190894608735,NA,58,60,60,0.00406467135494666
"ENSG00000250377.1","CTC-467M3.3",4.03515892873297,0.0692468139431789,5.45653504955427e-05,0.0120387530179048,0.0858613684994234,0.000243093314377961,NA,8,8,8,0.00406467135494666
"ENSG00000169592.14","INO80E",-4.02626832204784,-0.0922922919305412,5.66690201318032e-05,0.00636456032442248,0.0532306762774052,0.00465733848086737,NA,20,20,20,0.00415329076578893
"ENSG00000120647.9","CCDC77",4.01671877063405,0.0348209268923121,5.90140791895122e-05,0.0469789947664307,0.271915132622808,3.83334117283011e-12,NA,19,19,19,0.00425650755297053
"ENSG00000083067.22","TRPM3",4.00249745465595,0.0317681568477336,6.26773423705295e-05,0.056163174567296,0.111017567557416,3.22876484004361e-05,NA,83,83,83,0.0044500913083076
"ENSG00000233276.3","GPX1",-3.97615864643782,-0.0596150994715208,7.00374112694462e-05,0.0166214783368049,0.157470560124543,4.73485800502082e-07,NA,38,38,38,0.00480965475671554
