gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000183092.11,BEGAIN,-5.250953517710772,-0.011901718193699591,1.513138637576583e-07,0.7347811637850227,0.763980106711183,1.08293442362195e-290,1.56739882346e-288,18,18.0,18
ENSG00000243649.4,CFB,5.180701104505746,0.08749623624600451,2.210534605673157e-07,0.011441194754129322,0.02418923485462,2.0845949539074e-06,3.66669339449e-06,6,7.0,8
ZFP91,ZFP91,-5.167080818279033,-0.19514246823429543,2.377784647838495e-07,0.002801175984993606,0.00467142870687538,0.037990568725329,0.0510117015681,6,6.0,6
ENSG00000141026.4,MED9,-5.165555018700679,-0.09583438328008785,2.397264972398519e-07,0.012157468477187182,0.0180997322447654,4.16390012011176e-05,6.83313337677e-05,12,12.0,12
ENSG00000108468.10,CBX1,5.114539762219744,0.06773496667501905,3.145068374536993e-07,0.019889214008927146,0.0444612972201062,1.00127635953378e-10,2.13360474542e-10,10,10.0,10
ENSG00000163155.7,LYSMD1,-5.106273509200446,-0.015258208226119898,3.28574012144929e-07,0.43824817961551976,0.440226216320053,4.82245915907317e-118,8.19569155925e-117,141,141.0,142
ENSG00000168427.7,KLHL30,-5.098380266279738,-0.014007988413333804,3.425721095873662e-07,0.48293622834611377,0.513413146754369,4.55008957960929e-146,1.1286107317e-144,43,43.0,43
ENSG00000164663.9,USP49,5.083354668899667,0.03051271686391869,3.708263355564291e-07,0.09434327464469691,0.149881391112573,2.45472537330363e-34,1.01415269422e-33,22,23.0,23
ENSG00000114738.6,MAPKAPK3,5.056516515162531,0.023920318416175056,4.2698390944630396e-07,0.1534029500002437,0.192043761983368,1.49511302634439e-44,7.62079476392e-44,23,23.0,24
ENSG00000198055.6,GRK6,-5.053130002031306,-0.24255061139585102,4.3462784554387137e-07,0.0017165790414074933,0.00184966747724667,0.191981651439801,0.241531218943,4,4.0,4
ENSG00000132436.7,FIGNL1,5.045193253798293,0.023620577231015266,4.5306320572623227e-07,0.16294998142558992,0.230566978756345,2.37437402355709e-54,1.46545830667e-53,17,17.0,17
ENSG00000174871.6,CNIH2,4.993659802091843,0.10136077999707274,5.924572056759264e-07,0.009086130751596849,0.0117046070252212,0.00100091428922822,0.0015163379461,12,13.0,13
ENSG00000179029.10,TMEM107,4.992552145813649,0.07816649836846772,5.958661856445074e-07,0.015111262996775952,0.0376330986008561,2.86778841486298e-09,5.73688353769e-09,10,10.0,10
ENSG00000116138.8,DNAJC16,-4.984469034138475,-0.29061997365751674,6.213219491718845e-07,0.0009964201880383035,2.15792855459734e-05,0.887978213477005,1.0,4,4.0,4
ENSG00000121101.11,TEX14,-4.979538400843473,-0.04976442920274915,6.373610613595747e-07,0.03679232536455477,0.0612186081056924,2.50725298076243e-14,6.04485246378e-14,11,11.0,11
ENSG00000174080.6,CTSF,4.97764197579769,0.013405047868991124,6.436356830641825e-07,0.48913609545945913,0.592674126491983,1.27795594788951e-181,4.7954295697e-180,14,14.0,14
ENSG00000176732.6,PFN4,4.9492571636894755,0.06965276639335843,7.449726145787615e-07,0.017569313090791884,0.0360443449214676,6.25115957323184e-09,1.23155447173e-08,8,8.0,8
