gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000115896.11,PLCL1,-5.44844383136945,-0.0202453775967837,5.08124325032517e-08,0.285802514145563,0.333962986080281,2.92679628307481e-83,2.97674392621e-82,49,49,50
ENSG00000205659.6,LIN52,5.43480300654185,0.0209055974983266,5.48570032345804e-08,0.233590672672134,0.328218672711629,1.53367947754009e-81,1.51085208666e-80,13,13,13
ENSG00000196366.1,C9orf163,5.40313923002715,0.352836625844393,6.5484590118986e-08,0.000703464166139995,2.15704162469094e-05,0.888001085288464,1,6,6,6
ENSG00000204851.5,PNMAL2,-5.34758919713942,-0.0121198688195919,8.913348806951e-08,0.692865196164987,0.652439613377139,2.43406611120023e-213,1.33025247928e-211,70,70,70
ENSG00000161040.12,FBXL13,5.32620203054302,0.0304378744730586,1.00287581723632e-07,0.107200138062978,0.0999738583488782,7.46792522070625e-23,2.35086145033e-22,84,84,85
ENSG00000174851.10,YIF1A,-5.3221595202868,-0.0643058536599473,1.02542589025398e-07,0.0260261671836093,0.0496430093462602,7.78614970804457e-12,1.72616357187e-11,6,6,6
ENSG00000127418.10,FGFRL1,-5.28376570996926,-0.030265041722416,1.26555084423341e-07,0.102187000284629,0.111951096598623,1.48840224779087e-25,5.01759559909e-25,30,30,30
ENSG00000113758.9,DBN1,-5.28288978486704,-0.0401529560938344,1.27161899813468e-07,0.0676195847569404,0.111596243830965,1.79146609382739e-25,6.02538302395e-25,15,15,16
ENSG00000144485.6,HES6,-5.27153515289306,-0.0240934155038269,1.35287369025922e-07,0.174029988685403,0.231032199554533,1.79592869657063e-54,1.11104635334e-53,24,24,24
ENSG00000183763.4,TRAIP,-5.25802345748643,-0.236958068254517,1.45611949506077e-07,0.00174488176822133,2.24378311335736e-05,0.885786482709117,1,7,7,7
ENSG00000105429.8,MEGF8,5.25670517895301,0.312206082431544,1.46659137102681e-07,0.000842942739445611,0.000554562466609098,0.475112139244829,0.569762540835,2,2,2
ENSG00000135452.5,TSPAN31,-5.2543066186947,-0.0243299823273549,1.48583169374162e-07,0.15410216806844,0.165877932040174,3.74384426374959e-38,1.68466596508e-37,70,70,70
ENSG00000183092.11,BEGAIN,-5.25095351771077,-0.0119017181936996,1.51313863757658e-07,0.734781163785023,0.763980106711183,1.08293442362195e-290,1.56739882346e-288,18,18,18
ENSG00000243649.4,CFB,5.18070110450575,0.0874962362460045,2.21053460567316e-07,0.0114411947541293,0.02418923485462,2.0845949539074e-06,3.66669339449e-06,6,7,8
ZFP91,ZFP91,-5.16708081827903,-0.195142468234295,2.3777846478385e-07,0.00280117598499361,0.00467142870687538,0.037990568725329,0.0510117015681,6,6,6
ENSG00000141026.4,MED9,-5.16555501870068,-0.0958343832800878,2.39726497239852e-07,0.0121574684771872,0.0180997322447654,4.16390012011176e-05,6.83313337677e-05,12,12,12
ENSG00000108468.10,CBX1,5.11453976221974,0.0677349666750191,3.14506837453699e-07,0.0198892140089271,0.0444612972201062,1.00127635953378e-10,2.13360474542e-10,10,10,10
ENSG00000163155.7,LYSMD1,-5.10627350920045,-0.0152582082261199,3.28574012144929e-07,0.43824817961552,0.440226216320053,4.82245915907317e-118,8.19569155925e-117,141,141,142
ENSG00000168427.7,KLHL30,-5.09838026627974,-0.0140079884133338,3.42572109587366e-07,0.482936228346114,0.513413146754369,4.55008957960929e-146,1.1286107317e-144,43,43,43
ENSG00000164663.9,USP49,5.08335466889967,0.0305127168639187,3.70826335556429e-07,0.0943432746446969,0.149881391112573,2.45472537330363e-34,1.01415269422e-33,22,23,23
ENSG00000114738.6,MAPKAPK3,5.05651651516253,0.0239203184161751,4.26983909446304e-07,0.153402950000244,0.192043761983368,1.49511302634439e-44,7.62079476392e-44,23,23,24
ENSG00000198055.6,GRK6,-5.05313000203131,-0.242550611395851,4.34627845543871e-07,0.00171657904140749,0.00184966747724667,0.191981651439801,0.241531218943,4,4,4
ENSG00000132436.7,FIGNL1,5.04519325379829,0.0236205772310153,4.53063205726232e-07,0.16294998142559,0.230566978756345,2.37437402355709e-54,1.46545830667e-53,17,17,17
ENSG00000174871.6,CNIH2,4.99365980209184,0.101360779997073,5.92457205675926e-07,0.00908613075159685,0.0117046070252212,0.00100091428922822,0.0015163379461,12,13,13
ENSG00000179029.10,TMEM107,4.99255214581365,0.0781664983684677,5.95866185644507e-07,0.015111262996776,0.0376330986008561,2.86778841486298e-09,5.73688353769e-09,10,10,10
ENSG00000116138.8,DNAJC16,-4.98446903413848,-0.290619973657517,6.21321949171885e-07,0.000996420188038304,2.15792855459734e-05,0.887978213477005,1,4,4,4
ENSG00000121101.11,TEX14,-4.97953840084347,-0.0497644292027492,6.37361061359575e-07,0.0367923253645548,0.0612186081056924,2.50725298076243e-14,6.04485246378e-14,11,11,11
ENSG00000174080.6,CTSF,4.97764197579769,0.0134050478689911,6.43635683064183e-07,0.489136095459459,0.592674126491983,1.27795594788951e-181,4.7954295697e-180,14,14,14
ENSG00000176732.6,PFN4,4.94925716368948,0.0696527663933584,7.44972614578762e-07,0.0175693130907919,0.0360443449214676,6.25115957323184e-09,1.23155447173e-08,8,8,8
ENSG00000114737.11,CISH,4.94629457857844,0.109217913998315,7.56394679364594e-07,0.00682967585842419,0.00537604520643973,0.0259910980021436,0.0353937915412,21,21,21
ENSG00000164972.8,C9orf24,4.94404925474625,0.0893605591937746,7.65163578272063e-07,0.0103706765149164,0.0175063958239853,5.58117774213975e-05,9.1056226981e-05,10,10,10
ENSG00000073614.7,KDM5A,4.9303484834536,0.020422481764663,8.20830595456891e-07,0.222648320591313,0.197797361423459,5.50310305121976e-46,2.87054931832e-45,94,95,96
