gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000215193.12,PEX26,0.73412047412221,0.0126037729898656,0.462875316245778,0.00907217677613778,0.0278671705715861,0.0424358643396413,,46,47,47
ENSG00000166262.15,FAM227B,0.733915187183338,0.0158797587738001,0.463000430363296,0.00934988002695928,0.0292532370997759,0.0376460264012113,,30,30,30
ENSG00000281406.1,BLACAT1,-0.733769983202078,-0.00564698948400841,0.463088937722039,0.0472206391836975,0.0275426604106864,0.0454562344081125,,82,83,83
ENSG00000162843.17,WDR64,-0.733624469089918,-0.00482977169863176,0.463177643578251,0.0733960921246025,0.206105890867675,1.67555621875323e-09,,51,51,51
ENSG00000069974.15,RAB27A,0.733606692811383,0.00943279059567244,0.463188480702162,0.0264042859573835,0.240041953498849,1.84524033846399e-10,,18,19,19
ENSG00000171421.12,MRPL36,0.733479020599434,0.0163534988636004,0.463266318894976,0.0041471087348649,0.100584205393129,8.43766784271658e-05,,12,12,12
ENSG00000094796.4,KRT31,-0.732880641797364,-0.0121836130326499,0.463631230924562,0.0165457975759405,0.108777232214205,2.05308406548745e-05,,43,43,43
ENSG00000117407.16,ARTN,0.732822136310716,0.0087317371394002,0.46366691817901,0.0161983456138592,0.0721579582742965,0.0008593749248204,,10,10,10
ENSG00000138449.10,SLC40A1,0.732071610679915,0.0182862859950717,0.464124860494447,0.00580724405625026,0.156992047117813,1.28388384797307e-07,,10,10,10
ENSG00000044459.14,CNTLN,0.731817164339305,0.0062246026872658,0.464280171147477,0.0363654903509243,0.0776872017596255,0.000625464259665764,,108,110,110
ENSG00000164172.18,MOCS2,0.731182023156615,0.0186361385422755,0.464667979050158,0.00368134514447492,0.0741134026704619,0.000653869150781676,,57,57,57
ENSG00000231887.6,PRH1,-0.730706384242798,-0.00435091734734717,0.464958515171476,0.0844955102626012,0.33660075706355,1.6628129074666e-15,,41,42,42
ENSG00000101255.10,TRIB3,-0.730182376350089,-0.00857961899034831,0.465278713599851,0.0359140225315195,0.167363609576248,2.20281134261648e-07,,20,20,20
ENSG00000248174.5,RP11-148L24.1,0.729886892619132,0.00353411861546744,0.465459324887749,0.173370897035184,0.356679364791623,4.25492235624489e-18,,33,33,33
ENSG00000150907.7,FOXO1,0.729695945591726,0.0291584347278955,0.465576059949206,0.00218494838694826,0.0771324142799273,0.000660570350586092,,18,18,18
ENSG00000272894.5,RP5-1159O4.1,-0.72948640645406,-0.00558065462323615,0.465704179976911,0.0486976517151313,0.395431706162937,8.51075841699417e-20,,18,18,18
ENSG00000198055.10,GRK6,-0.729331435497584,-0.0172396570983305,0.46579894758667,0.00680519886734989,0.0412385244352892,0.0130096638507912,,44,46,46
ENSG00000168418.7,KCNG4,0.728840069278579,0.0143356457883779,0.466099497950132,0.00949415749092392,0.0804786065691011,0.000372853758135245,,13,13,13
ENSG00000115266.11,APC2,-0.728193876595428,-0.0220650937357716,0.466494913754177,0.00339869349533875,0.0368542626749354,0.0127671798058545,,2,2,2
